ST_CASE,STATE,COUNTY,MONTH,YEAR,DAY_WEEK,HOUR,ROAD_FNC,HARM_EV,WRK_ZONE,WEATHER,FATALS,DRUNK_DR,RESPONSE_TIME,HOSP_ARR_TIME,Unnamed: 53,person_count,SPEEDREL,L_STATUS
10330,1,73,6,2014,5,17,15,42,0,10,1,0,,,,1,,1.0
10331,1,3,6,2014,7,0,1,1,0,10,1,0,,,,1,,
10332,1,83,6,2014,1,8,15,42,0,1,1,0,,,,1,,1.0
10333,1,83,5,2014,7,17,6,12,0,10,1,1,,,,2,,
10334,1,95,6,2014,5,21,3,35,0,10,1,1,,,,1,1.0,
10335,1,97,6,2014,7,2,13,12,0,1,1,1,,,,3,,
10336,1,9,6,2014,7,20,2,1,0,1,1,1,,,,1,,
10337,1,3,6,2014,1,19,5,34,0,1,1,1,,,,1,,
10338,1,109,6,2014,4,17,4,42,0,1,1,0,,,,1,1.0,
10339,1,93,6,2014,6,19,4,1,0,1,1,0,,,,1,1.0,
10340,1,109,6,2014,7,21,4,1,0,1,1,1,,,,1,1.0,
10341,1,77,6,2014,2,22,4,35,0,1,1,1,,,,1,,
10343,1,97,6,2014,7,20,13,59,0,10,1,0,,,,2,,
10344,1,103,6,2014,3,4,4,8,0,10,1,0,,,,2,,
10345,1,33,6,2014,4,18,13,12,0,10,1,0,,,,2,1.0,
10346,1,73,6,2014,5,2,15,42,0,1,1,0,,,,1,,
10347,1,73,6,2014,3,20,4,35,0,1,1,0,,,,2,,1.0
10348,1,3,5,2014,7,20,5,12,0,1,1,1,,,,4,,
10349,1,97,6,2014,6,20,3,8,0,1,1,0,,,,2,,
10350,1,117,6,2014,6,18,1,12,0,1,1,0,,,,7,,2.0
10351,1,97,6,2014,4,15,2,8,0,10,1,0,,,,3,,
10352,1,97,6,2014,7,20,13,12,0,1,1,0,,,,4,,
10353,1,73,6,2014,3,1,11,12,1,1,1,0,,,,6,1.0,
10354,1,55,6,2014,7,22,2,8,0,10,1,0,,,,2,,
10355,1,73,6,2014,3,12,11,1,0,10,2,0,,,,4,,
10356,1,79,4,2014,6,9,2,12,0,1,1,0,,,,2,,
10357,1,65,5,2014,1,12,3,10,0,1,1,0,,,,1,,1.0
10358,1,97,6,2014,1,10,3,12,0,10,1,0,,,,2,,
